Delay_Hours,Month,System Voltage,Consumer_Effected,System_Load (kW),Failure_Code,Location
0.15,April,11kV,6492,6087,C1,Location 3
0.47,April,11kV,3830,1928,C1,Location 3
0.23,April,11kV,1868,2487,C1,Location 3
0.68,April,11kV,5923,1816,C1,Location 6
0.4,April,11kV,3913,1978,C1,Location 6
0.48,April,11kV,3696,1417,C1,Location 2
0.25,April,11kV,2591,1276,C1,Location 2
0.55,April,11kV,1950,522,C1,Location 2
0.42,April,11kV,4509,3443,C1,Location 4
0.12,April,11kV,2420,6258,C1,Location 4
0.02,April,11kV,2089,34700,C1,Location 4
0.27,April,11kV,6961,4363,C1,Location 2
0.02,April,33kV,20757,163900,A1,Location 7
0.6,April,33kV,20319,4710,A1,Location 1
0.8,April,33kV,11441,5299,A1,Location 3
0.62,April,33kV,29521,3955,A1,Location 3
0.62,April,33kV,9255,3158,A1,Location 3
0.8,April,33kV,2311,559,A1,Location 3
0.8,April,33kV,13393,3035,A1,Location 3
0.8,April,33kV,9978,3070,A1,Location 3
0.58,April,33kV,13314,8460,A1,Location 6
0.58,April,33kV,16841,10078,A1,Location 6
0.72,April,33kV,11588,8913,A1,Location 6
0.72,April,33kV,2365,2565,A1,Location 6
0.72,April,33kV,18937,6824,A1,Location 6
3.08,April,LV,72,4,D2,Location 3
1.92,April,LV,131,41,D2,Location 2
1.23,April,33kV,13393,1974,A1,Location 3
1.23,April,33kV,9978,1997,A1,Location 3
0.33,April,LV,76,30,D1,Location 7
0.42,April,LV,71,26,D1,Location 1
0.07,April,33kV,19950,86729,A1,Location 7
0.35,April,11kV,6961,3366,C1,Location 2
0.83,April,11kV,2152,382,C1,Location 3
0.58,April,11kV,4555,2288,C1,Location 1
0.47,April,11kV,2846,1062,C1,Location 2
0.12,April,11kV,1165,1650,C1,Location 2
0.3,April,LV,677,320,D1,Location 5
0.58,April,11kV,270,67,C1,Location 7
4.25,April,LV,72,2,D2,Location 6
0.25,April,LV,231,132,D2,Location 6
0.3,April,11kV,5424,5900,C1,Location 7
0.92,April,11kV,6887,957,B1,Location 1
0.25,April,11kV,6492,3652,C1,Location 3
0.47,April,11kV,4360,3340,C1,Location 7
0.33,April,11kV,1787,3303,C1,Location 3
0.95,April,33kV,29521,2581,A1,Location 3
0.17,April,11kV,5341,4512,C1,Location 3
0.4,April,33kV,23422,20965,A1,Location 5
1,April,LV,199,32,D1,Location 4
0.28,April,LV,106,54,D1,Location 7
1.1,April,11kV,221,13,C1,Location 3
1.32,April,11kV,478,59,C1,Location 3
0.47,April,33kV,17726,9023,A1,Location 4
0.92,April,11kV,471,153,C1,Location 3
0.4,April,11kV,1109,203,C1,Location 3
0.73,April,11kV,3622,1460,C1,Location 1
0.83,April,11kV,241,13,C1,Location 3
0.33,April,11kV,143,42,C1,Location 1
0.73,April,LV,329,96,D2,Location 4
0.92,April,LV,67,8,D1,Location 3
3.32,April,LV,69,2,D1,Location 1
2.98,April,LV,70,3,D1,Location 1
0.58,April,LV,69,12,D1,Location 1
14.25,April,LV,70,1,D1,Location 1
12,April,LV,15,0,D1,Location 1
0.77,April,11kV,3622,1384,C1,Location 1
0.15,April,11kV,798,793,C2,Location 5
2,April,11kV,798,60,C2,Location 5
0.55,April,11kV,149,53,C1,Location 3
0.35,April,11kV,737,157,C1,Location 3
0.5,April,LV,95,50,D1,Location 7
0.3,April,11kV,525,430,C1,Location 2
0.02,April,11kV,2102,82450,C1,Location 2
0.53,April,11kV,179,470,C1,Location 2
0.5,April,LV,69,12,D1,Location 3
0.17,April,LV,456,306,D1,Location 5
0.5,April,11kV,539,370,C1,Location 1
0.35,April,11kV,1787,3114,C1,Location 3
0.02,April,11kV,2102,82450,C1,Location 2
0.22,April,11kV,3951,7918,C2,Location 4
0.17,April,11kV,920,1359,C1,Location 7
0.5,April,11kV,1495,644,C2,Location 6
0.5,April,LV,152,26,D1,Location 1
1.33,April,11kV,3019,883,C2,Location 4
0.5,April,LV,293,106,D1,Location 4
0.02,April,33kV,23422,419300,A1,Location 5
0.02,April,33kV,20064,164850,A1,Location 1
0.28,April,11kV,2570,1218,C2,Location 1
0.02,April,11kV,2846,24950,C1,Location 2
1.98,April,LV,1,52,D2,Location 3
0.9,April,LV,75,13,D2,Location 6
0.67,April,11kV,267,1367,C2,Location 6
0.02,April,11kV,1137,27450,C1,Location 5
0.33,April,11kV,6961,3570,C1,Location 2
0.5,April,11kV,9156,4690,C1,Location 5
0.03,April,33kV,19950,202367,A1,Location 7
0.27,April,11kV,2556,1941,C1,Location 5
0.42,April,11kV,941,669,C1,Location 5
1.07,April,11kV,625,154,C1,Location 2
1.2,April,11kV,519,139,C1,Location 5
0.5,April,11kV,614,254,C1,Location 1
0.42,April,11kV,212,64,C1,Location 1
0.3,April,11kV,6492,3043,C1,Location 3
0.5,April,11kV,888,534,C1,Location 6
0.8,April,11kV,273,50,C1,Location 4
0.47,April,11kV,525,274,C1,Location 2
8.75,April,LV,69,1,D2,Location 1
0.83,April,LV,313,78,D2,Location 5
0.75,April,LV,69,11,D1,Location 1
2,April,LV,69,4,D1,Location 1
0.42,April,11kV,399,202,C1,Location 6
0.55,April,11kV,5341,1395,C1,Location 3
0.78,April,11kV,1278,206,C1,Location 3
0.25,April,11kV,6961,4712,C1,Location 2
1.92,April,LV,59,3,D1,Location 1
0.43,April,11kV,6492,2123,C1,Location 3
0.85,April,11kV,6300,2007,B1,Location 6
0.23,April,11kV,5071,5078,B1,Location 6
0.55,April,11kV,4636,1705,C1,Location 4
0.7,April,11kV,2806,711,C1,Location 4
0.13,April,33kV,20064,25362,A1,Location 1
0.13,April,33kV,9555,17915,A1,Location 1
0.13,April,33kV,6887,6769,A1,Location 1
0.13,April,33kV,8323,10862,A1,Location 1
1.2,April,33kV,20064,2748,A1,Location 1
1.2,April,33kV,9555,1941,A1,Location 1
1.2,April,33kV,6887,733,A1,Location 1
1.2,April,33kV,8323,1177,A1,Location 1
0.03,April,33kV,9945,102400,A1,Location 4
0.5,April,11kV,97,60,C1,Location 6
0.13,April,11kV,529,823,C1,Location 2
0.38,April,11kV,1787,2868,C1,Location 3
2.92,April,11kV,2420,257,C2,Location 4
0.02,April,33kV,5872,139700,A1,Location 2
0.18,April,11kV,4636,5211,C1,Location 4
0.73,April,11kV,613,174,C1,Location 4
0.75,April,11kV,406,83,C1,Location 6
0.22,April,33kV,5872,12700,A1,Location 2
0.5,April,LV,76,16,D1,Location 1
0.27,April,33kV,10976,11504,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.8,April,11kV,1512,490,C1,Location 6
0.08,April,11kV,4337,20663,C1,Location 6
0.05,April,33kV,19426,148860,A1,Location 4
0.68,April,33kV,19426,10946,A1,Location 4
0.78,April,33kV,19426,9542,A1,Location 4
0.55,April,LV,56,11,D1,Location 2
0.4,April,LV,67,20,D2,Location 5
0.42,April,33kV,8323,3362,A1,Location 1
0.42,April,33kV,6887,2095,A1,Location 1
0.38,April,33kV,20064,8676,A1,Location 1
0.38,April,33kV,9555,6129,A1,Location 1
5.12,April,11kV,788,43,C2,Location 4
0.73,April,LV,66,10,D2,Location 6
0.08,April,11kV,3982,15300,C1,Location 3
0.32,April,11kV,1787,3406,C1,Location 3
0.35,April,11kV,4898,4977,C2,Location 7
0.15,April,11kV,2102,10993,C1,Location 2
1.23,April,33kV,14770,2669,A1,Location 2
0.43,April,11kV,2846,1160,C1,Location 2
1.47,April,11kV,3089,336,C1,Location 1
0.68,April,33kV,14770,4828,A1,Location 2
3.32,April,11kV,1165,60,C1,Location 2
0.02,April,11kV,3951,87100,C2,Location 4
1.07,April,11kV,556,101,C1,Location 1
0.35,April,LV,80,34,D1,Location 2
0.2,April,LV,56,25,D1,Location 1
0.35,April,33kV,8323,4034,A1,Location 1
0.35,April,33kV,6887,2514,A1,Location 1
0.35,April,33kV,20064,9420,A1,Location 1
0.35,April,33kV,9555,6654,A1,Location 1
0.5,April,LV,79,22,D1,Location 4
0.98,April,11kV,1824,371,C1,Location 4
1.42,April,LV,333,33,D2,Location 6
0.17,April,11kV,8188,10129,C1,Location 2
0.33,April,LV,1,73,D1,Location 2
0.33,April,11kV,246,70,C1,Location 1
0.42,April,LV,227,124,D1,Location 2
0.18,April,11kV,1787,6056,C1,Location 3
0.33,April,33kV,4948,6503,A1,Location 2
0.55,April,33kV,4948,3902,A1,Location 2
0.73,April,33kV,4948,2940,A1,Location 2
0.17,April,33kV,4948,12624,A1,Location 2
0.52,April,33kV,4948,4127,A1,Location 2
0.22,April,33kV,4948,9755,A1,Location 2
0.05,April,33kV,29521,49040,A1,Location 3
0.47,April,11kV,5270,3466,C1,Location 2
0.03,April,33kV,29521,81733,A1,Location 3
0.03,April,33kV,13393,80933,A1,Location 3
5.08,April,11kV,3480,202,B3,Location 3
0.03,April,33kV,9978,81867,A1,Location 3
0.17,April,33kV,13393,14282,A1,Location 3
0.17,April,33kV,9978,14447,A1,Location 3
1.32,April,33kV,29521,1858,A1,Location 3
0.17,April,33kV,9255,11518,A1,Location 3
4.12,April,11kV,5309,232,B3,Location 3
2.87,April,11kV,5309,333,B3,Location 3
0.03,April,33kV,29521,81733,A1,Location 3
0.25,April,LV,158,80,D1,Location 6
0.58,April,11kV,149,50,C1,Location 3
0.23,April,33kV,11441,18430,A1,Location 3
0.5,April,11kV,296,86,C1,Location 1
0.58,April,LV,135,59,D1,Location 4
0.07,April,33kV,20319,40371,A1,Location 1
0.07,April,33kV,11441,60557,A1,Location 3
0.07,April,33kV,19950,86729,A1,Location 7
2.42,April,LV,229,14,D2,Location 4
0.2,April,LV,1,1480,D1,Location 2
1.48,April,LV,193,28,D1,Location 7
0.5,April,11kV,5510,4040,C2,Location 7
0.05,April,11kV,4192,20840,C1,Location 2
0.2,April,11kV,4192,5210,C1,Location 2
0.3,April,11kV,3251,2080,C1,Location 2
0.2,April,11kV,6961,5890,C1,Location 2
0.12,April,11kV,4192,8683,C1,Location 2
0.32,April,11kV,745,847,C1,Location 2
0.18,April,11kV,40,283,C1,Location 2
0.33,April,11kV,6492,2767,C1,Location 3
0.5,April,11kV,455,156,C1,Location 6
0.02,April,33kV,5872,139700,A1,Location 2
0.72,April,11kV,3547,558,C1,Location 3
0.53,April,11kV,6541,2689,C1,Location 3
0.3,April,11kV,849,4190,C1,Location 6
0.45,April,11kV,228,718,C1,Location 6
0.6,April,11kV,228,538,C2,Location 6
0.53,April,11kV,9,32,C1,Location 4
0.58,April,11kV,3547,693,C1,Location 3
1.72,April,11kV,471,82,C1,Location 3
0.62,April,11kV,499,129,C1,Location 4
1.08,April,LV,78,11,D1,Location 2
2.42,April,LV,279,18,D1,Location 7
0.82,April,LV,279,52,D1,Location 7
8.33,April,LV,279,5,D1,Location 7
0.28,April,11kV,6492,3261,C1,Location 3
0.42,April,11kV,6492,2174,C1,Location 3
0.02,April,33kV,5872,139700,A1,Location 2
0.15,April,LV,301,287,D1,Location 6
0.33,April,LV,71,27,D2,Location 3
0.33,April,11kV,6492,2767,C1,Location 3
0.15,April,11kV,3089,3293,C1,Location 1
0.32,April,11kV,6492,2853,C1,Location 3
0.07,April,33kV,6887,12571,A1,Location 1
0.02,April,33kV,6887,44000,A1,Location 1
0.02,April,33kV,6887,44000,A1,Location 1
0.03,April,33kV,6887,29333,A1,Location 1
0.53,April,33kV,6887,1660,A1,Location 1
0.08,April,33kV,20319,35325,A1,Location 1
0.02,April,33kV,9555,116450,A1,Location 1
0.02,April,33kV,9555,116450,A1,Location 1
0.03,April,33kV,9555,77633,A1,Location 1
0.07,April,33kV,9555,33271,A1,Location 1
0.02,April,33kV,9555,116450,A1,Location 1
0.02,April,33kV,9555,116450,A1,Location 1
0.02,April,33kV,20064,164850,A1,Location 1
0.02,April,33kV,20064,164850,A1,Location 1
0.07,April,33kV,20064,47100,A1,Location 1
0.02,April,33kV,20064,164850,A1,Location 1
0.02,April,33kV,20064,164850,A1,Location 1
0.02,April,33kV,16865,183400,A1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,4265,60800,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,6091,65900,C1,Location 7
0.02,April,11kV,1673,56300,C1,Location 7
0.02,April,33kV,5872,139700,A1,Location 2
0.23,April,11kV,1151,7152,C1,Location 2
0.03,April,11kV,1151,54833,C1,Location 2
0.02,April,11kV,1151,82250,C1,Location 2
0.03,April,11kV,4192,34733,C1,Location 2
0.03,April,11kV,4192,34733,C1,Location 2
0.03,April,11kV,4192,34733,C1,Location 2
0.03,April,11kV,4192,34733,C1,Location 2
0.03,April,11kV,3405,41467,C1,Location 6
0.02,April,11kV,3405,62200,C1,Location 6
0.03,April,11kV,2050,18100,C1,Location 6
0.03,April,11kV,2050,18100,C1,Location 6
0.5,April,11kV,2184,1412,C1,Location 6
0.02,April,11kV,4337,82650,C1,Location 6
0.02,April,11kV,708,10700,C1,Location 6
0.02,April,11kV,708,10700,C1,Location 6
0.02,April,11kV,6300,85300,C1,Location 6
0.22,April,11kV,6300,7755,C1,Location 6
0.03,April,11kV,3019,20067,C1,Location 6
0.02,April,11kV,5923,61750,C1,Location 6
0.02,April,11kV,5923,61750,C1,Location 6
0.02,April,11kV,5923,61750,C1,Location 6
0.02,April,11kV,5923,61750,C1,Location 6
0.67,April,11kV,5923,1843,C1,Location 6
0.02,April,11kV,5923,61750,C1,Location 6
0.02,April,11kV,4456,62500,C1,Location 6
0.02,April,11kV,4456,62500,C1,Location 6
0.02,April,11kV,4456,62500,C1,Location 6
0.02,April,11kV,4456,62500,C1,Location 6
0.02,April,33kV,18937,245650,A1,Location 6
0.05,April,33kV,18937,98260,A1,Location 6
0.02,April,33kV,18937,245650,A1,Location 6
0.08,April,33kV,13314,61338,A1,Location 6
0.02,April,11kV,867,12350,C1,Location 6
0.02,April,11kV,6267,67950,C1,Location 6
0.02,April,11kV,6267,67950,C1,Location 6
0.02,April,11kV,6267,67950,C1,Location 6
0.02,April,11kV,6267,67950,C1,Location 6
0.02,April,11kV,6267,67950,C1,Location 6
0.02,April,11kV,577,5550,C1,Location 6
0.02,April,11kV,8185,115700,C1,Location 6
0.02,April,11kV,8185,115700,C1,Location 6
0.02,April,11kV,8185,115700,C1,Location 6
0.02,April,33kV,16841,292250,A1,Location 6
0.03,April,33kV,16841,194833,A1,Location 6
0.02,April,11kV,5708,70100,C1,Location 6
0.02,April,11kV,3365,69700,C1,Location 6
0.02,April,11kV,3365,69700,C1,Location 6
0.02,April,11kV,3365,69700,C1,Location 6
0.02,April,11kV,3365,69700,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.02,April,11kV,7727,67400,C1,Location 6
0.03,April,33kV,9945,102400,A1,Location 4
0.03,April,33kV,9945,102400,A1,Location 4
0.02,April,33kV,9945,153600,A1,Location 4
0.02,April,33kV,11588,320850,A1,Location 6
0.02,April,33kV,11588,320850,A1,Location 6
0.03,April,33kV,12951,146000,A1,Location 6
0.02,April,33kV,12951,219000,A1,Location 6
0.02,April,33kV,12951,219000,A1,Location 6
0.08,April,33kV,13393,30350,A1,Location 3
0.02,April,33kV,13393,121400,A1,Location 3
0.03,April,33kV,13393,80933,A1,Location 3
0.02,April,33kV,13393,121400,A1,Location 3
0.03,April,33kV,11441,141300,A1,Location 3
0.03,April,33kV,11441,141300,A1,Location 3
0.03,April,33kV,11441,141300,A1,Location 3
0.05,April,33kV,9255,39160,A1,Location 3
0.02,April,33kV,9255,97900,A1,Location 3
0.05,April,33kV,9255,39160,A1,Location 3
0.02,April,33kV,9978,122800,A1,Location 3
0.02,April,33kV,9978,122800,A1,Location 3
0.52,April,33kV,29521,4715,A1,Location 3
0.02,April,33kV,29521,122600,A1,Location 3
0.02,April,33kV,29521,122600,A1,Location 3
0.03,April,33kV,19426,248100,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.05,April,33kV,19426,148860,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.03,April,33kV,19426,248100,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.02,April,33kV,19426,372150,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.07,April,33kV,17726,60586,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.02,April,33kV,17726,212050,A1,Location 4
0.03,April,33kV,19774,190233,A1,Location 4
0.03,April,33kV,26508,227833,A1,Location 5
0.03,April,33kV,26508,227833,A1,Location 5
0.02,April,33kV,10976,155300,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.03,April,33kV,10976,103533,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.02,April,33kV,10976,155300,A1,Location 2
0.02,April,33kV,19950,303550,A1,Location 7
0.02,April,33kV,19950,303550,A1,Location 7
0.07,April,33kV,19950,86729,A1,Location 7
0.03,April,33kV,19950,202367,A1,Location 7
0.05,April,33kV,19950,121420,A1,Location 7
0.02,April,33kV,19950,303550,A1,Location 7
0.05,April,33kV,19950,121420,A1,Location 7
0.02,April,33kV,19950,303550,A1,Location 7
0.02,April,33kV,19950,303550,A1,Location 7
0.02,April,33kV,19950,303550,A1,Location 7
0.03,April,33kV,20757,109267,A1,Location 7
0.05,April,33kV,20757,65560,A1,Location 7
0.02,April,33kV,20757,163900,A1,Location 7
0.32,April,33kV,22495,16900,A1,Location 7
0.47,April,33kV,22495,11506,A1,Location 7
1.93,April,33kV,22495,2802,A1,Location 7
0.28,May,11kV,1506,814,C1,Location 6
0.3,May,11kV,6961,3927,C1,Location 2
0.02,May,11kV,2863,67150,C1,Location 7
0.3,May,11kV,3996,2267,C1,Location 2
0.37,May,11kV,291,135,C1,Location 6
0.5,May,11kV,281,66,C1,Location 2
0.08,May,11kV,7764,14838,C1,Location 3
0.5,May,11kV,556,216,C1,Location 1
0.28,May,11kV,1089,946,C2,Location 4
0.02,May,11kV,4057,66500,C1,Location 1
0.08,May,11kV,4057,16625,C1,Location 1
0.2,May,11kV,3996,3400,C1,Location 2
0.5,May,LV,63,14,D2,Location 5
0.52,May,33kV,4948,4127,A1,Location 2
0.3,May,33kV,4948,7153,A1,Location 2
0.12,May,33kV,4948,17883,A1,Location 2
0.83,May,11kV,257,12,C1,Location 7
0.38,May,33kV,9945,8084,A1,Location 4
0.07,May,33kV,9945,43886,A1,Location 4
0.75,May,11kV,4272,1839,C1,Location 3
0.63,May,33kV,20064,5233,A1,Location 1
0.12,May,33kV,20319,23550,A1,Location 1
0.17,May,11kV,6887,5176,C1,Location 1
0.8,May,33kV,6887,1100,A1,Location 1
0.8,May,33kV,8323,1765,A1,Location 1
0.73,May,33kV,9555,3190,A1,Location 1
0.33,May,11kV,6887,2667,C1,Location 1
0.45,May,11kV,2184,1569,C1,Location 6
0.03,May,33kV,4948,71533,A1,Location 2
0.03,May,11kV,5749,44267,B1,Location 2
0.23,May,33kV,4948,9330,A1,Location 2
0.05,May,11kV,5749,26560,B1,Location 2
1.12,May,11kV,2181,450,C2,Location 2
0.12,May,33kV,4948,17883,A1,Location 2
0.63,May,11kV,2933,1405,C1,Location 7
0.37,May,11kV,1787,2946,C1,Location 3
0.17,May,33kV,20796,41594,A1,Location 5
0.05,May,33kV,22495,108160,A1,Location 7
0.12,May,33kV,10976,25883,A1,Location 2
0.5,May,LV,72,22,D1,Location 1
1.1,May,11kV,926,155,C1,Location 2
0.67,May,11kV,221,69,C1,Location 2
0.42,May,33kV,20319,6729,A1,Location 1
0.5,May,11kV,4663,3462,C1,Location 1
0.25,May,11kV,7338,5116,C1,Location 1
0.47,May,11kV,3622,2268,C1,Location 1
0.62,May,11kV,1219,987,C1,Location 1
0.55,May,11kV,6584,818,C1,Location 5
0.2,May,11kV,5857,5205,C1,Location 5
0.22,May,11kV,2516,6291,C2,Location 1
1.17,May,11kV,861,105,C2,Location 5
0.05,May,11kV,4192,20840,C1,Location 2
0.67,May,LV,69,9,D1,Location 3
0.65,May,11kV,8123,4817,C1,Location 5
0.25,May,33kV,19950,24284,A1,Location 7
0.97,May,33kV,14770,3385,A1,Location 2
0.23,May,11kV,5703,10583,C1,Location 7
1.42,May,11kV,6181,970,C1,Location 5
1.1,May,11kV,4122,2968,C1,Location 7
0.33,May,11kV,6040,3164,C1,Location 3
0.47,May,33kV,5872,5945,A1,Location 2
1.05,May,33kV,4948,2044,A1,Location 2
0.33,May,33kV,20319,8564,A1,Location 1
0.15,May,33kV,22495,36053,A1,Location 7
0.13,May,11kV,2933,6808,C1,Location 7
1.25,May,11kV,893,226,C1,Location 7
0.28,May,11kV,5035,2414,C1,Location 3
0.48,May,11kV,1369,446,C1,Location 3
0.48,May,11kV,411,179,C1,Location 3
2.92,May,LV,79,4,D2,Location 5
0.42,May,11kV,170,60,C1,Location 3
0.38,May,11kV,166,61,C1,Location 3
0.65,May,11kV,6378,3195,C1,Location 4
2.43,May,11kV,928,87,C1,Location 4
11.58,May,LV,129,2,D2,Location 4
1.77,May,11kV,3958,749,C1,Location 7
10.18,May,11kV,344,13,C1,Location 7
0.67,May,11kV,3830,1352,C1,Location 3
10.63,May,LV,72,1,D2,Location 7
0.22,May,LV,69,32,D2,Location 7
0.08,May,33kV,19426,93038,A1,Location 4
0.17,May,11kV,928,1247,C2,Location 4
0.02,May,11kV,1151,82250,C1,Location 2
5.68,May,11kV,928,37,C2,Location 4
0.28,May,11kV,6492,3261,C1,Location 3
0.02,May,11kV,3734,109100,C1,Location 4
0.12,May,33kV,10389,33742,A1,Location 6
0.38,May,33kV,4948,5647,A1,Location 2
0.33,May,11kV,552,152,C1,Location 5
0.07,May,11kV,867,3529,C2,Location 6
0.03,May,33kV,10389,134967,A1,Location 6
0.58,May,11kV,9360,4057,C1,Location 6
1.12,May,11kV,4248,880,C1,Location 6
0.07,May,11kV,9360,33614,C1,Location 6
1.38,May,11kV,4248,714,C1,Location 6
0.08,May,11kV,64,175,C1,Location 6
0.17,May,11kV,156,200,C1,Location 6
0.32,May,11kV,126,88,C1,Location 6
0.38,May,11kV,1296,532,C1,Location 6
0.47,May,33kV,13373,10534,A1,Location 6
0.2,May,11kV,9360,11765,C1,Location 6
0.68,May,11kV,4248,1450,C1,Location 6
1.27,May,11kV,1296,159,C1,Location 6
0.08,May,11kV,1,50,C1,Location 6
0.53,May,11kV,4248,1860,C2,Location 6
0.42,May,11kV,9360,5602,C1,Location 6
0.17,May,33kV,10525,9024,A1,Location 3
0.17,May,33kV,6666,11659,A1,Location 3
0.58,May,11kV,4248,1700,C1,Location 6
0.07,May,11kV,1296,2886,C1,Location 6
1,May,LV,73,12,D2,Location 1
0.55,May,11kV,2152,576,C1,Location 3
0.12,May,33kV,20319,23550,A1,Location 1
0.17,May,33kV,29521,14424,A1,Location 3
0.25,May,33kV,22495,21632,A1,Location 7
0.2,May,11kV,12709,15945,C1,Location 6
6.15,May,11kV,282,8,C1,Location 6
0.5,May,11kV,287,54,C1,Location 6
2.48,May,11kV,282,20,C1,Location 6
0.2,May,33kV,20796,35355,A1,Location 5
0.2,May,33kV,19426,37215,A1,Location 4
0.37,May,33kV,20796,19111,A1,Location 5
0.42,May,33kV,19426,17721,A1,Location 4
0.42,May,33kV,19426,17721,A1,Location 4
0.18,May,33kV,20796,39283,A1,Location 5
0.88,May,11kV,2863,1526,C1,Location 7
1.03,May,11kV,1190,211,B3,Location 7
0.17,May,11kV,6961,6929,C1,Location 2
0.23,May,LV,79,57,D2,Location 2
1.52,May,11kV,2558,533,B3,Location 4
0.07,May,33kV,20796,101014,A1,Location 5
0.27,May,11kV,8123,11596,C1,Location 5
0.33,May,11kV,6492,2767,C1,Location 3
0.02,May,33kV,5872,139700,A1,Location 2
0.5,May,LV,71,16,D1,Location 1
0.58,May,11kV,1,29,C1,Location 2
0.67,May,11kV,6524,3000,C1,Location 7
0.12,May,11kV,4006,14208,C1,Location 7
0.13,May,11kV,4006,13115,C1,Location 7
0.02,May,33kV,20796,353550,A1,Location 5
0.07,May,11kV,1137,7843,C1,Location 5
0.27,May,11kV,1150,1144,C1,Location 4
0.42,May,LV,69,12,D1,Location 1
0.13,May,33kV,19426,57254,A1,Location 4
0.07,May,33kV,20796,101014,A1,Location 5
0.02,May,33kV,20796,353550,A1,Location 5
0.03,May,33kV,10389,134967,A1,Location 6
0.33,May,11kV,5270,4936,C1,Location 2
0.42,May,11kV,3,326,C1,Location 2
0.02,May,11kV,3188,30200,C1,Location 2
2.33,May,33kV,14770,1409,A1,Location 2
0.13,May,11kV,4192,8015,C1,Location 2
0.2,May,11kV,6653,8100,C1,Location 3
0.17,May,11kV,6492,5371,C1,Location 3
0.23,May,11kV,5035,2939,C1,Location 3
0.08,May,11kV,2152,3963,C1,Location 3
0.03,May,33kV,4948,71533,A1,Location 2
0.3,May,11kV,117,287,C1,Location 2
0.25,May,LV,77,44,D1,Location 2
0.02,May,11kV,12110,142850,C1,Location 5
0.02,May,33kV,5872,139700,A1,Location 2
0.02,May,33kV,5872,139700,A1,Location 2
0.5,May,LV,66,10,D1,Location 1
0.1,May,33kV,19426,74430,A1,Location 4
0.55,May,11kV,1,338,C1,Location 2
0.17,May,11kV,2152,1865,C1,Location 3
0.67,May,11kV,126,42,C1,Location 6
0.2,May,11kV,6961,5890,C1,Location 2
0.58,May,LV,73,22,D1,Location 1
0.42,May,LV,77,26,D1,Location 2
0.33,May,11kV,363,191,C1,Location 3
0.07,May,33kV,20796,101014,A1,Location 5
0.33,May,11kV,5270,4936,C1,Location 2
0.05,May,11kV,12110,57140,B1,Location 5
0.05,May,11kV,14459,69240,B1,Location 5
0.05,May,11kV,6979,51620,B1,Location 5
0.05,May,11kV,2728,9660,B1,Location 5
0.05,May,11kV,2324,7840,B1,Location 5
2.65,May,11kV,1,109,C1,Location 5
0.02,May,11kV,6091,65900,C1,Location 7
0.42,May,33kV,11411,10093,A1,Location 3
0.3,May,33kV,12951,14600,A1,Location 6
0.67,May,11kV,1,18,C1,Location 7
0.42,May,LV,67,17,D1,Location 1
